STATE_NAME	STATE_NAME_DIR	fips	scenario_type	scenario_hash	batch_num	output_path
Oklahoma	Oklahoma	40109	vax	3764663c7f39eb4bdccd3b261ffbccdc7b3713ab4d7ddfc7498f3fbf0230c95d	019c9b05-edc1-734c-80c7-b53b0fc202c5	../US_Vax_Compare/input_files/Oklahoma_3764663c7f39eb4bdccd3b261ffbccdc7b3713ab4d7ddfc7498f3fbf0230c95d.json
Oregon	Oregon	41051	baseline	cfa682d698d3edf7e0b526ca1c3298add415795336764f4898f244fe7edfa722	019c9b05-edc6-73d6-80fc-0e8f7a086aa5	../US_Vax_Compare/input_files/Oregon_cfa682d698d3edf7e0b526ca1c3298add415795336764f4898f244fe7edfa722.json
Oregon	Oregon	41051	vax	2d3d8e35d6d77cb7bdf9cecc5d62671822e083ca7705b7d65fd1a55f135343e7	019c9b05-edce-71bb-809b-e6113aef8182	../US_Vax_Compare/input_files/Oregon_2d3d8e35d6d77cb7bdf9cecc5d62671822e083ca7705b7d65fd1a55f135343e7.json
Pennsylvania	Pennsylvania	42101	baseline	57d21014efa84342a4973f1dd492a330b6ba81ebaa2fec1620eb1a58058e5eed	019c9b05-edd5-71d6-80ea-1e8441a9b4f0	../US_Vax_Compare/input_files/Pennsylvania_57d21014efa84342a4973f1dd492a330b6ba81ebaa2fec1620eb1a58058e5eed.json
Pennsylvania	Pennsylvania	42101	vax	41510ddc4288c644cd86f6c08c1e7e21ab88127e9d360b1585d42d50c3815d01	019c9b05-eddc-73aa-80fc-d35e1c291b2e	../US_Vax_Compare/input_files/Pennsylvania_41510ddc4288c644cd86f6c08c1e7e21ab88127e9d360b1585d42d50c3815d01.json
Rhode Island	Rhode-Island	44007	baseline	e9d3e68cf77bd6725232f5fca53ba4c5d61df18af42cbd5207af495615aa9877	019c9b05-ede2-72ef-80c9-e8ed8c372727	../US_Vax_Compare/input_files/Rhode-Island_e9d3e68cf77bd6725232f5fca53ba4c5d61df18af42cbd5207af495615aa9877.json
Rhode Island	Rhode-Island	44007	vax	e166eee2a13b6f0342b47a9c25de6a8cb2b3b8624f26caf90c25e6c58c414e43	019c9b05-edea-70ca-801f-8b2678e47793	../US_Vax_Compare/input_files/Rhode-Island_e166eee2a13b6f0342b47a9c25de6a8cb2b3b8624f26caf90c25e6c58c414e43.json
South Carolina	South-Carolina	45045	baseline	05baff98fe6c3fdf3ca2eaab014f5a884eb28155a06e957ca8517a5e11320d7b	019c9b05-edef-733f-8091-7eeed66f8d1f	../US_Vax_Compare/input_files/South-Carolina_05baff98fe6c3fdf3ca2eaab014f5a884eb28155a06e957ca8517a5e11320d7b.json
South Carolina	South-Carolina	45045	vax	e9bafc8f5d8c9d1df4ccb490f8a776f770cb69510ebcc8e791aedac002631637	019c9b05-edfc-722d-808d-2d02fcf25bfd	../US_Vax_Compare/input_files/South-Carolina_e9bafc8f5d8c9d1df4ccb490f8a776f770cb69510ebcc8e791aedac002631637.json
South Dakota	South-Dakota	46099	baseline	79a594d9334468917c9292a1043c01cf9a409a63703586ee29756b815e967c39	019c9b05-ee02-70a6-80f8-00b54ca6a711	../US_Vax_Compare/input_files/South-Dakota_79a594d9334468917c9292a1043c01cf9a409a63703586ee29756b815e967c39.json
South Dakota	South-Dakota	46099	vax	a0f85bc447f1e76897ab04866e612d7095badb29be2f51f4e4bf74a56cf6bf82	019c9b05-ee09-71d4-80c1-4fe41ce76dbc	../US_Vax_Compare/input_files/South-Dakota_a0f85bc447f1e76897ab04866e612d7095badb29be2f51f4e4bf74a56cf6bf82.json
Tennessee	Tennessee	47157	baseline	75893dc8181d0cebd59cc56c7cafa3dc0aa57949887817f0744f7c5fcd4fd969	019c9b05-ee0f-712c-80a0-523251723498	../US_Vax_Compare/input_files/Tennessee_75893dc8181d0cebd59cc56c7cafa3dc0aa57949887817f0744f7c5fcd4fd969.json
Tennessee	Tennessee	47157	vax	e16ed1a5a2790c364383e79f6843a543085afd8eb87b64c4ce82b3be4e62bde4	019c9b05-ee16-72c7-804a-6aed449be4c9	../US_Vax_Compare/input_files/Tennessee_e16ed1a5a2790c364383e79f6843a543085afd8eb87b64c4ce82b3be4e62bde4.json
Texas	Texas	48201	baseline	daa659ae6bb53124ee0f89a733703d217b5af508b91cdf83e97dc496efd93ba4	019c9b05-ee1c-70ed-801e-ca4d12aeaeef	../US_Vax_Compare/input_files/Texas_daa659ae6bb53124ee0f89a733703d217b5af508b91cdf83e97dc496efd93ba4.json
Texas	Texas	48201	vax	5fa8179f7bf1b27a8afdbefc5f801b42d37da6ff6b1a055d78eff9c5271408e7	019c9b05-ee23-70be-8014-b9c6447f6b06	../US_Vax_Compare/input_files/Texas_5fa8179f7bf1b27a8afdbefc5f801b42d37da6ff6b1a055d78eff9c5271408e7.json
Utah	Utah	49035	baseline	856a7a37362c924c6ce50b8e1906fc84354456cfa31047011c3ca36717f8f805	019c9b05-ee28-727e-80ac-8be51e6e202e	../US_Vax_Compare/input_files/Utah_856a7a37362c924c6ce50b8e1906fc84354456cfa31047011c3ca36717f8f805.json
Utah	Utah	49035	vax	6a964273fb221c5d2b234d63a08773d365ddc433ee1d1af7eb18b423727162b3	019c9b05-ee2f-72a9-8077-6f68d09e20c5	../US_Vax_Compare/input_files/Utah_6a964273fb221c5d2b234d63a08773d365ddc433ee1d1af7eb18b423727162b3.json
Vermont	Vermont	50007	baseline	57ffe81f3c91fdbc3b11cbe1feb2da95c42e0bf711dcbebd71021c18497ab420	019c9b05-ee35-707c-8075-a5cd802f9224	../US_Vax_Compare/input_files/Vermont_57ffe81f3c91fdbc3b11cbe1feb2da95c42e0bf711dcbebd71021c18497ab420.json
Vermont	Vermont	50007	vax	e84a1fbf0e6e7298eabf61d03f038ebf3014dd9c449edb16a75a6b174937db50	019c9b05-ee3c-713d-8069-0846df948c9b	../US_Vax_Compare/input_files/Vermont_e84a1fbf0e6e7298eabf61d03f038ebf3014dd9c449edb16a75a6b174937db50.json
Virginia	Virginia	51059	baseline	8908381c04286d8c507339ff3527a6fdfa45859cbd998d9eff5808ba16f9e9a9	019c9b05-ee41-71e2-805d-70d90a52a88d	../US_Vax_Compare/input_files/Virginia_8908381c04286d8c507339ff3527a6fdfa45859cbd998d9eff5808ba16f9e9a9.json
Virginia	Virginia	51059	vax	182748d7ffc7af512339f2250689f4cb82cc1a9e607518038ef3d367ab2cf3e6	019c9b05-ee48-7046-808c-9df60ca655ca	../US_Vax_Compare/input_files/Virginia_182748d7ffc7af512339f2250689f4cb82cc1a9e607518038ef3d367ab2cf3e6.json
Washington	Washington	53033	baseline	3476d32bdaed421b11178be161fafb6aa962af38e0646e4495fdbf893d4a4859	019c9b05-ee4d-737c-8037-172456ca5df7	../US_Vax_Compare/input_files/Washington_3476d32bdaed421b11178be161fafb6aa962af38e0646e4495fdbf893d4a4859.json
Washington	Washington	53033	vax	a54e50f1dcd955960a85763cfc4491fdc672ec424b8977083de8dbf8975d64d1	019c9b05-ee55-7174-8095-3e30d4eb6274	../US_Vax_Compare/input_files/Washington_a54e50f1dcd955960a85763cfc4491fdc672ec424b8977083de8dbf8975d64d1.json
West Virginia	West-Virginia	54039	baseline	bf77502693343384027fc55c3bd96740b118f6e8f95fed8ad71c7e0541810291	019c9b05-ee60-7173-80e0-f1c338a1b332	../US_Vax_Compare/input_files/West-Virginia_bf77502693343384027fc55c3bd96740b118f6e8f95fed8ad71c7e0541810291.json
West Virginia	West-Virginia	54039	vax	1dde75ea2ba5e8a30d1079d1d2c485bc89df54d4a2ccf5c34535e4cca438ef82	019c9b05-ee67-727c-8038-26a491c38d54	../US_Vax_Compare/input_files/West-Virginia_1dde75ea2ba5e8a30d1079d1d2c485bc89df54d4a2ccf5c34535e4cca438ef82.json
Wisconsin	Wisconsin	55079	baseline	cc237fb0575b537c50f27d3c1bc22f79c248dc476ee0bcad9cec0b3c698090a5	019c9b05-ee6d-71f0-8061-6609271ded5a	../US_Vax_Compare/input_files/Wisconsin_cc237fb0575b537c50f27d3c1bc22f79c248dc476ee0bcad9cec0b3c698090a5.json
Wisconsin	Wisconsin	55079	vax	7fe86d1c1e050dbc6c487f1c1acb3e3f6c5940fe4ce4d44353f2fcb9321ffb19	019c9b05-ee74-7303-8039-cfa1c9e3aa4d	../US_Vax_Compare/input_files/Wisconsin_7fe86d1c1e050dbc6c487f1c1acb3e3f6c5940fe4ce4d44353f2fcb9321ffb19.json
Wyoming	Wyoming	56021	baseline	8daca69449c08611368fd1be68080ac9b7b2fae89f6760e0b7322ca4576b58c5	019c9b05-ee7a-70aa-804b-099b130ec6d0	../US_Vax_Compare/input_files/Wyoming_8daca69449c08611368fd1be68080ac9b7b2fae89f6760e0b7322ca4576b58c5.json
Wyoming	Wyoming	56021	vax	a5ceb6c28eafe670ffd6c35ef1bb311a906b2c916a29e07cd851c3e849396462	019c9b05-ee81-72ac-8082-19ee4968fc61	../US_Vax_Compare/input_files/Wyoming_a5ceb6c28eafe670ffd6c35ef1bb311a906b2c916a29e07cd851c3e849396462.json
